,abbreviation,season,avg_player_height,lg,team,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g
0,ATL,2012,199.86625,NBA,Atlanta Hawks,True,27.9,40.0,26.0,41.0,25.0,3.44,-0.77,2.67,104.9,101.2,3.7,90.2,0.259,0.249,0.535,0.5,13.4,23.9,0.192,0.48,14.4,74.4,0.186,Philips Arena,501593.0,15200.0
1,ATL,2013,200.50125,NBA,Atlanta Hawks,True,27.1,44.0,38.0,42.0,40.0,0.4,-0.48,-0.08,104.8,104.4,0.4,92.6,0.244,0.286,0.546,0.517,14.2,22.2,0.174,0.496,14.2,73.6,0.181,Philips Arena,620146.0,15126.0
2,ATL,2014,200.66,NBA,Atlanta Hawks,True,27.5,38.0,44.0,40.0,42.0,-0.48,-0.4,-0.88,105.9,106.4,-0.5,94.6,0.266,0.316,0.554,0.515,14.3,21.0,0.208,0.51,14.0,74.4,0.196,Philips Arena,587927.0,14231.0
3,ATL,2015,201.33733333333333,NBA,Atlanta Hawks,True,27.8,60.0,22.0,56.0,26.0,5.43,-0.68,4.75,108.9,103.1,5.8,93.9,0.259,0.321,0.563,0.527,13.5,21.4,0.201,0.492,14.9,73.4,0.185,Philips Arena,713909.0,17412.0
4,ATL,2016,200.5188888888889,NBA,Atlanta Hawks,True,28.2,48.0,34.0,51.0,31.0,3.61,-0.12,3.49,105.1,101.4,3.7,97.1,0.237,0.336,0.552,0.516,13.8,19.1,0.185,0.48,14.4,74.6,0.194,Philips Arena,690150.0,16833.0
5,ATL,2017,199.7242105263158,NBA,Atlanta Hawks,True,27.9,43.0,39.0,39.0,43.0,-0.85,-0.38,-1.23,104.9,105.7,-0.8,97.4,0.295,0.309,0.541,0.504,14.2,23.6,0.215,0.507,13.8,76.1,0.179,Philips Arena,654306.0,15959.0
6,ATL,2018,202.63555555555556,NBA,Atlanta Hawks,False,25.4,24.0,58.0,27.0,55.0,-5.45,0.15,-5.3,105.0,110.6,-5.6,98.3,0.236,0.363,0.547,0.512,14.1,21.1,0.185,0.536,13.6,76.2,0.183,Philips Arena,590769.0,14409.0
7,ATL,2019,200.23666666666668,NBA,Atlanta Hawks,False,25.1,29.0,53.0,27.0,55.0,-6.02,-0.04,-6.06,108.1,113.9,-5.8,103.9,0.255,0.403,0.555,0.522,14.3,24.7,0.192,0.541,12.8,76.4,0.237,State Farm Arena,628440.0,15328.0
8,ATL,2020,198.71764705882353,NBA,Atlanta Hawks,False,24.1,20.0,47.0,18.0,49.0,-7.97,0.27,-7.71,107.2,114.8,-7.6,103.0,0.258,0.398,0.554,0.515,13.8,21.6,0.204,0.543,12.7,74.9,0.233,State Farm Arena,545453.0,16043.0
9,ATL,2021,198.48285714285717,NBA,Atlanta Hawks,True,25.4,41.0,31.0,41.0,31.0,2.32,-0.18,2.14,115.7,113.3,2.4,97.6,0.278,0.382,0.581,0.539,11.9,24.4,0.226,0.53,11.1,77.8,0.19,State Farm Arena,59288.0,1647.0
10,ATL,2022,198.96666666666667,NBA,Atlanta Hawks,True,26.1,43.0,39.0,45.0,37.0,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23.0,0.205,0.543,11.5,76.9,0.177,State Farm Arena,672742.0,16408.0
11,BKN,2013,200.66000000000003,NBA,Brooklyn Nets,True,28.6,49.0,33.0,46.0,36.0,1.78,-0.53,1.25,108.2,106.2,2.0,88.8,0.299,0.269,0.536,0.498,14.0,30.9,0.219,0.503,13.1,73.7,0.174,Barclays Center,704702.0,17188.0
12,BKN,2014,202.08875,NBA,Brooklyn Nets,True,30.0,44.0,38.0,38.0,44.0,-1.0,-0.58,-1.58,106.7,107.7,-1.0,91.4,0.313,0.301,0.555,0.514,14.1,21.7,0.236,0.509,14.9,72.3,0.236,Barclays Center,707331.0,17252.0
13,BKN,2015,200.95882352941177,NBA,Brooklyn Nets,True,28.6,38.0,44.0,33.0,49.0,-2.88,-0.25,-3.13,104.4,107.4,-3.0,92.7,0.267,0.24,0.529,0.491,13.0,23.9,0.2,0.506,12.9,73.7,0.185,Barclays Center,698529.0,17037.0
14,BKN,2016,200.23666666666668,NBA,Brooklyn Nets,False,26.9,21.0,61.0,22.0,60.0,-7.35,0.24,-7.12,103.2,110.9,-7.7,95.2,0.246,0.218,0.527,0.492,13.6,24.1,0.186,0.534,13.1,75.7,0.176,Barclays Center,620142.0,15125.0
15,BKN,2017,201.08333333333334,NBA,Brooklyn Nets,False,26.0,20.0,62.0,24.0,58.0,-6.73,-0.01,-6.74,104.1,110.7,-6.6,101.3,0.289,0.371,0.551,0.507,14.7,19.6,0.228,0.513,11.6,76.1,0.212,Barclays Center,632608.0,15429.0
16,BKN,2018,200.21176470588236,NBA,Brooklyn Nets,False,25.1,28.0,54.0,31.0,51.0,-3.74,0.07,-3.67,106.9,110.6,-3.7,98.9,0.26,0.411,0.551,0.514,13.6,21.0,0.201,0.517,11.0,77.0,0.201,Barclays Center,640010.0,15376.0
17,BKN,2019,199.39,NBA,Brooklyn Nets,True,25.4,42.0,40.0,41.0,41.0,-0.07,-0.33,-0.4,109.6,109.7,-0.1,100.8,0.284,0.403,0.556,0.52,13.0,23.8,0.211,0.512,11.6,76.4,0.19,Barclays Center,612597.0,14941.0
18,BKN,2020,198.96666666666667,NBA,Brooklyn Nets,True,26.3,35.0,37.0,35.0,37.0,-0.57,-0.44,-1.01,108.9,109.5,-0.6,101.4,0.267,0.423,0.554,0.52,13.1,23.2,0.199,0.511,11.0,77.8,0.187,Barclays Center,524907.0,16403.0
19,BKN,2021,198.12,NBA,Brooklyn Nets,True,28.2,48.0,24.0,46.0,26.0,4.5,-0.27,4.24,118.3,113.8,4.5,99.5,0.258,0.413,0.61,0.575,12.2,21.4,0.208,0.531,11.1,77.3,0.187,Barclays Center,30491.0,847.0
20,BKN,2022,198.882,NBA,Brooklyn Nets,True,29.1,44.0,38.0,43.0,39.0,0.78,0.04,0.82,113.6,112.8,0.8,99.0,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,Barclays Center,711539.0,17355.0
21,BOS,2012,200.80941176470589,NBA,Boston Celtics,True,29.3,39.0,27.0,39.0,27.0,2.52,-0.26,2.26,101.0,98.2,2.8,90.4,0.257,0.194,0.535,0.496,14.7,19.7,0.2,0.452,14.9,72.4,0.216,TD Garden,614592.0,18624.0
22,BOS,2013,198.59625,NBA,Boston Celtics,True,29.1,41.0,40.0,40.0,41.0,-0.22,-0.4,-0.62,103.1,103.3,-0.2,91.7,0.263,0.215,0.542,0.503,14.1,20.1,0.204,0.482,14.2,73.3,0.216,TD Garden,744960.0,18624.0
23,BOS,2014,198.66428571428574,NBA,Boston Celtics,False,25.4,25.0,57.0,28.0,54.0,-4.46,-0.51,-4.97,102.9,107.7,-4.8,93.3,0.248,0.251,0.517,0.477,14.2,27.4,0.193,0.505,13.4,74.2,0.227,TD Garden,742400.0,18107.0
24,BOS,2015,199.136,NBA,Boston Celtics,True,25.0,40.0,42.0,41.0,41.0,0.16,-0.56,-0.4,104.7,104.5,0.2,95.8,0.233,0.28,0.523,0.489,12.5,24.7,0.176,0.494,13.7,75.0,0.208,TD Garden,721350.0,17594.0
25,BOS,2016,198.62800000000001,NBA,Boston Celtics,True,25.2,48.0,34.0,50.0,32.0,3.21,-0.37,2.84,106.8,103.6,3.2,98.5,0.264,0.293,0.531,0.488,12.1,25.1,0.208,0.487,14.6,74.6,0.231,TD Garden,749076.0,18270.0
26,BOS,2017,198.52105263157895,NBA,Boston Celtics,True,25.9,53.0,29.0,48.0,34.0,2.63,-0.39,2.25,111.2,108.4,2.8,96.8,0.273,0.393,0.567,0.525,12.2,21.2,0.22,0.503,12.6,75.3,0.223,TD Garden,760690.0,18553.0
27,BOS,2018,200.025,NBA,Boston Celtics,True,24.7,55.0,27.0,51.0,31.0,3.59,-0.35,3.23,107.6,103.9,3.7,96.0,0.243,0.357,0.552,0.518,13.0,21.5,0.188,0.495,13.0,78.4,0.191,TD Garden,763584.0,18624.0
28,BOS,2019,197.67176470588237,NBA,Boston Celtics,True,25.7,49.0,33.0,52.0,30.0,4.44,-0.54,3.9,112.2,107.8,4.4,99.6,0.215,0.381,0.567,0.534,11.5,21.6,0.173,0.514,13.4,77.0,0.198,TD Garden,763584.0,18624.0
29,BOS,2020,200.09555555555553,NBA,Boston Celtics,True,25.3,48.0,24.0,50.0,22.0,6.31,-0.47,5.83,113.3,107.0,6.3,99.5,0.259,0.386,0.57,0.531,12.2,23.9,0.207,0.509,13.5,77.4,0.215,TD Garden,610864.0,19090.0
30,BOS,2021,199.85181818181817,NBA,Boston Celtics,True,25.1,36.0,36.0,39.0,33.0,1.46,-0.14,1.32,114.0,112.5,1.5,98.3,0.234,0.409,0.574,0.543,12.5,24.3,0.181,0.539,12.8,78.1,0.215,TD Garden,30067.0,835.0
31,BOS,2022,200.8011111111111,NBA,Boston Celtics,True,26.1,51.0,31.0,59.0,23.0,7.28,-0.26,7.02,114.4,106.9,7.5,96.6,0.239,0.425,0.578,0.542,12.4,24.0,0.195,0.502,12.5,77.3,0.183,TD Garden,727928.0,17754.0
32,CHA,2012,200.6977777777778,NBA,Charlotte Bobcats,False,24.5,7.0,59.0,7.0,59.0,-13.91,-0.05,-13.96,95.2,110.4,-15.2,91.1,0.276,0.169,0.483,0.439,13.9,23.6,0.206,0.512,12.8,70.9,0.206,Time Warner Cable Arena,486984.0,14757.0
33,CHA,2013,198.96666666666667,NBA,Charlotte Bobcats,False,24.4,21.0,61.0,17.0,65.0,-9.23,-0.06,-9.29,101.5,111.5,-10.0,91.5,0.31,0.21,0.507,0.46,13.2,25.7,0.233,0.524,13.2,71.1,0.197,Time Warner Cable Arena,628293.0,15324.0
34,CHA,2014,197.96125,NBA,Charlotte Bobcats,True,25.5,43.0,39.0,40.0,42.0,-0.22,-0.67,-0.89,103.6,103.8,-0.2,92.4,0.297,0.219,0.522,0.481,11.7,21.9,0.219,0.491,12.6,77.6,0.183,Time Warner Cable Arena,636268.0,15519.0
35,CHA,2015,200.68625,NBA,Charlotte Hornets,False,26.0,33.0,49.0,32.0,50.0,-3.17,-0.27,-3.44,100.1,103.5,-3.4,93.0,0.269,0.226,0.498,0.456,11.2,22.1,0.202,0.487,12.0,79.3,0.188,Time Warner Cable Arena,704886.0,17192.0
36,CHA,2016,200.80941176470589,NBA,Charlotte Hornets,True,26.0,48.0,34.0,49.0,33.0,2.72,-0.36,2.36,107.1,104.3,2.8,95.7,0.28,0.348,0.545,0.502,11.7,20.0,0.222,0.496,12.5,79.8,0.191,Time Warner Cable Arena,716894.0,17485.0
37,CHA,2017,201.10823529411766,NBA,Charlotte Hornets,False,26.5,36.0,46.0,42.0,40.0,0.2,-0.26,-0.07,108.8,108.6,0.2,95.7,0.279,0.335,0.547,0.501,10.7,19.9,0.227,0.523,12.1,79.6,0.164,Spectrum Center,710643.0,17333.0
38,CHA,2018,198.71764705882353,NBA,Charlotte Hornets,False,26.6,36.0,46.0,42.0,40.0,0.26,-0.19,0.07,109.4,109.1,0.3,98.4,0.312,0.314,0.549,0.508,11.4,22.2,0.233,0.532,12.4,80.7,0.165,Spectrum Center,671404.0,16376.0
39,CHA,2019,198.8457142857143,NBA,Charlotte Hornets,False,26.6,39.0,43.0,38.0,44.0,-1.1,-0.22,-1.32,111.4,112.5,-1.1,98.7,0.257,0.378,0.554,0.514,10.9,21.7,0.205,0.538,12.1,77.1,0.179,Spectrum Center,676570.0,16502.0
40,CHA,2020,197.97058823529412,NBA,Charlotte Hornets,False,24.3,23.0,42.0,19.0,46.0,-6.75,-0.28,-7.03,106.3,113.3,-7.0,95.8,0.252,0.399,0.539,0.504,13.3,23.9,0.188,0.546,13.1,74.4,0.159,Spectrum Center,478591.0,15428.0
41,CHA,2021,200.06235294117647,NBA,Charlotte Hornets,False,24.6,33.0,39.0,32.0,40.0,-1.93,-0.01,-1.94,110.9,112.8,-1.9,98.3,0.238,0.422,0.564,0.532,13.3,23.5,0.181,0.55,13.2,75.7,0.163,Spectrum Center,68255.0,1896.0
42,CHA,2022,199.61411764705883,NBA,Charlotte Hornets,False,25.5,43.0,39.0,42.0,40.0,0.44,0.09,0.53,114.1,113.7,0.4,100.0,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,Spectrum Center,700755.0,17092.0
43,CHI,2012,199.93428571428572,NBA,Chicago Bulls,True,27.1,50.0,16.0,51.0,15.0,8.18,-0.76,7.43,107.4,98.3,9.1,89.1,0.255,0.205,0.523,0.49,13.2,32.6,0.184,0.45,12.8,74.3,0.175,United Center,731326.0,22161.0
44,CHI,2013,200.025,NBA,Chicago Bulls,True,28.0,45.0,37.0,42.0,40.0,0.32,-0.33,-0.02,103.5,103.2,0.3,89.3,0.259,0.189,0.512,0.47,13.6,29.4,0.201,0.477,13.2,73.6,0.206,United Center,896944.0,21877.0
45,CHI,2014,201.56714285714287,NBA,Chicago Bulls,True,28.6,48.0,34.0,47.0,35.0,1.85,-0.66,1.2,102.5,100.5,2.0,90.2,0.29,0.222,0.518,0.471,14.2,27.2,0.226,0.471,13.7,75.4,0.189,United Center,890370.0,21716.0
46,CHI,2015,202.01466666666664,NBA,Chicago Bulls,True,28.8,50.0,32.0,50.0,32.0,3.0,-0.46,2.54,107.5,104.3,3.2,92.8,0.304,0.269,0.536,0.489,12.9,27.0,0.238,0.473,11.3,74.4,0.182,United Center,886612.0,21625.0
47,CHI,2016,199.0725,NBA,Chicago Bulls,False,27.6,42.0,40.0,37.0,45.0,-1.48,0.01,-1.46,105.0,106.5,-1.5,95.7,0.24,0.244,0.526,0.487,12.6,24.5,0.189,0.485,10.7,74.9,0.182,United Center,894659.0,21821.0
48,CHI,2017,200.25894736842105,NBA,Chicago Bulls,True,26.9,41.0,41.0,42.0,40.0,0.43,-0.39,0.03,107.4,107.0,0.4,95.3,0.259,0.256,0.53,0.487,12.3,27.0,0.206,0.507,12.4,76.8,0.169,United Center,888882.0,21680.0
49,CHI,2018,198.40222222222224,NBA,Chicago Bulls,False,24.4,27.0,55.0,23.0,59.0,-7.04,0.2,-6.84,103.8,110.9,-7.1,98.3,0.216,0.35,0.529,0.497,12.6,20.6,0.164,0.542,12.4,80.6,0.184,United Center,851824.0,20776.0
50,CHI,2019,201.10823529411766,NBA,Chicago Bulls,False,24.0,22.0,60.0,21.0,61.0,-8.41,0.1,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,0.541,0.505,12.7,19.4,0.184,0.541,11.9,77.3,0.188,United Center,823475.0,20085.0
51,CHI,2020,199.31529411764706,NBA,Chicago Bulls,False,24.4,22.0,43.0,26.0,39.0,-3.08,-0.93,-4.0,106.7,109.8,-3.1,99.7,0.231,0.396,0.547,0.515,13.7,22.8,0.175,0.546,16.3,75.6,0.239,United Center,639352.0,18804.0
52,CHI,2021,198.882,NBA,Chicago Bulls,False,25.6,31.0,41.0,34.0,38.0,-0.89,-0.05,-0.94,111.1,112.0,-0.9,99.0,0.197,0.383,0.575,0.547,13.6,22.3,0.156,0.538,11.6,80.3,0.196,United Center,13655.0,379.0
53,CHI,2022,198.86705882352942,NBA,Chicago Bulls,True,26.3,46.0,36.0,40.0,42.0,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,United Center,856148.0,20882.0
54,CLE,2012,200.3425,NBA,Cleveland Cavaliers,False,26.0,21.0,45.0,17.0,49.0,-7.2,-0.14,-7.34,101.1,108.9,-7.8,91.3,0.307,0.238,0.505,0.463,14.3,28.9,0.22,0.508,13.1,72.2,0.202,Quicken Loans Arena,525577.0,15927.0
55,CLE,2013,200.66,NBA,Cleveland Cavaliers,False,24.1,24.0,58.0,28.0,54.0,-4.68,-0.19,-4.87,104.3,109.4,-5.1,92.3,0.265,0.229,0.514,0.473,13.0,28.1,0.2,0.523,14.4,72.6,0.225,Quicken Loans Arena,663882.0,16192.0
56,CLE,2014,202.90117647058824,NBA,Cleveland Cavaliers,False,24.9,33.0,49.0,32.0,50.0,-3.29,-0.57,-3.86,104.2,107.7,-3.5,93.1,0.268,0.236,0.518,0.479,13.0,27.2,0.201,0.508,13.0,75.8,0.199,Quicken Loans Arena,710522.0,17330.0
57,CLE,2015,200.36117647058822,NBA,Cleveland Cavaliers,True,26.9,53.0,29.0,53.0,29.0,4.48,-0.4,4.08,111.1,106.3,4.8,92.3,0.287,0.334,0.557,0.52,13.4,26.8,0.216,0.502,12.6,74.7,0.177,Quicken Loans Arena,843042.0,20562.0
58,CLE,2016,201.72947368421055,NBA,Cleveland Cavaliers,True,28.1,57.0,25.0,57.0,25.0,6.0,-0.55,5.45,110.9,104.5,6.4,93.3,0.259,0.352,0.558,0.524,12.7,25.1,0.194,0.496,12.6,78.5,0.205,Quicken Loans Arena,843042.0,20562.0
59,CLE,2017,201.77125,NBA,Cleveland Cavaliers,True,29.2,51.0,31.0,49.0,33.0,3.18,-0.31,2.87,113.6,110.3,3.3,96.2,0.275,0.399,0.58,0.547,12.6,21.9,0.206,0.516,11.4,75.8,0.174,Quicken Loans Arena,843042.0,20562.0
60,CLE,2018,200.41809523809522,NBA,Cleveland Cavaliers,True,30.6,50.0,32.0,43.0,39.0,0.94,-0.35,0.59,112.9,111.9,1.0,98.0,0.275,0.379,0.584,0.547,12.6,20.1,0.214,0.54,12.2,77.3,0.166,Quicken Loans Arena,843042.0,20562.0
61,CLE,2019,198.12,NBA,Cleveland Cavaliers,False,25.2,19.0,63.0,19.0,63.0,-9.61,0.22,-9.39,107.7,117.6,-9.9,96.6,0.236,0.332,0.54,0.503,12.2,23.7,0.187,0.564,11.5,77.0,0.181,Quicken Loans Arena,793337.0,19350.0
62,CLE,2020,199.57142857142858,NBA,Cleveland Cavaliers,False,25.0,19.0,46.0,18.0,47.0,-7.89,0.12,-7.77,107.5,115.4,-7.9,98.7,0.227,0.362,0.553,0.522,14.6,24.6,0.172,0.56,11.7,77.4,0.164,Rocket Mortgage Fieldhouse,643008.0,17861.0
63,CLE,2021,198.92818181818183,NBA,Cleveland Cavaliers,False,24.0,22.0,50.0,18.0,54.0,-8.44,0.25,-8.19,105.8,114.4,-8.6,97.3,0.261,0.347,0.543,0.508,13.9,23.6,0.194,0.556,13.0,76.6,0.183,Rocket Mortgage Fieldhouse,91476.0,2541.0
64,CLE,2022,198.56823529411764,NBA,Cleveland Cavaliers,False,24.7,44.0,38.0,47.0,35.0,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0.538,13.2,24.0,0.198,0.52,12.3,76.5,0.172,Rocket Mortgage Fieldhouse,758228.0,18493.0
65,DAL,2012,197.75714285714284,NBA,Dallas Mavericks,True,31.3,36.0,30.0,35.0,31.0,0.95,0.83,1.78,103.3,102.3,1.0,91.4,0.246,0.271,0.527,0.489,13.4,23.4,0.19,0.479,13.9,74.8,0.203,American Airlines Center,671050.0,20335.0
66,DAL,2013,198.28933333333333,NBA,Dallas Mavericks,False,29.5,41.0,41.0,39.0,43.0,-0.6,0.36,-0.24,105.9,106.5,-0.6,94.1,0.242,0.236,0.544,0.506,13.0,21.8,0.192,0.492,13.3,73.1,0.227,American Airlines Center,821490.0,20036.0
67,DAL,2014,200.81875,NBA,Dallas Mavericks,True,30.6,49.0,33.0,48.0,34.0,2.4,0.5,2.91,111.2,108.7,2.5,93.5,0.253,0.274,0.564,0.526,12.7,24.6,0.201,0.515,14.8,72.7,0.229,American Airlines Center,817982.0,19951.0
68,DAL,2015,202.692,NBA,Dallas Mavericks,True,29.9,50.0,32.0,49.0,33.0,2.9,0.46,3.36,109.5,106.4,3.1,95.2,0.262,0.296,0.55,0.515,11.9,23.6,0.197,0.503,14.7,72.2,0.204,American Airlines Center,827702.0,20188.0
69,DAL,2016,199.32315789473682,NBA,Dallas Mavericks,True,30.3,42.0,40.0,40.0,42.0,-0.3,0.29,-0.02,106.7,107.0,-0.3,94.3,0.265,0.339,0.544,0.502,12.0,20.6,0.211,0.504,12.8,76.2,0.198,American Airlines Center,825901.0,20144.0
70,DAL,2017,202.35333333333332,NBA,Dallas Mavericks,False,27.6,33.0,49.0,33.0,49.0,-2.93,0.4,-2.53,105.6,108.8,-3.2,92.2,0.225,0.366,0.541,0.505,11.6,18.1,0.18,0.529,14.4,77.6,0.218,American Airlines Center,811366.0,19789.0
71,DAL,2018,200.18375,NBA,Dallas Mavericks,False,27.7,24.0,58.0,33.0,49.0,-3.04,0.34,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,0.544,0.513,11.6,18.0,0.166,0.532,12.9,78.9,0.193,American Airlines Center,811453.0,19792.0
72,DAL,2019,199.10777777777778,NBA,Dallas Mavericks,False,26.9,33.0,49.0,38.0,44.0,-1.28,0.42,-0.87,109.4,110.7,-1.3,99.0,0.291,0.422,0.555,0.519,12.7,22.7,0.216,0.522,11.6,77.5,0.191,American Airlines Center,820569.0,20014.0
73,DAL,2020,200.66000000000003,NBA,Dallas Mavericks,True,26.1,43.0,32.0,49.0,26.0,4.95,-0.07,4.87,116.7,111.7,5.0,99.3,0.264,0.457,0.581,0.545,11.2,23.2,0.206,0.525,10.6,77.7,0.175,American Airlines Center,682096.0,20062.0
74,DAL,2021,198.72476190476192,NBA,Dallas Mavericks,True,26.3,42.0,30.0,41.0,31.0,2.26,-0.01,2.26,115.4,113.0,2.4,97.3,0.242,0.436,0.582,0.55,11.1,21.1,0.189,0.534,11.5,77.8,0.197,American Airlines Center,94849.0,2635.0
75,DAL,2022,197.63619047619045,NBA,Dallas Mavericks,True,26.7,52.0,30.0,50.0,32.0,3.3,-0.18,3.12,112.8,109.4,3.4,95.4,0.249,0.439,0.572,0.538,11.7,21.3,0.192,0.521,12.2,78.0,0.185,American Airlines Center,808037.0,19708.0
76,DEN,2012,202.86133333333333,NBA,Denver Nuggets,True,26.6,38.0,28.0,39.0,27.0,2.88,0.29,3.16,109.2,106.2,3.0,94.2,0.326,0.243,0.556,0.516,14.1,27.7,0.239,0.508,14.3,74.3,0.185,Pepsi Center,561966.0,17029.0
77,DEN,2013,200.47857142857143,NBA,Denver Nuggets,True,26.1,57.0,25.0,55.0,27.0,5.09,0.28,5.37,110.4,105.1,5.3,95.1,0.308,0.217,0.549,0.515,13.6,31.4,0.216,0.493,14.3,71.8,0.193,Pepsi Center,730616.0,17820.0
78,DEN,2014,198.10888888888888,NBA,Denver Nuggets,False,26.0,36.0,46.0,35.0,47.0,-2.15,0.75,-1.4,106.0,108.2,-2.2,98.1,0.306,0.278,0.536,0.497,14.0,27.5,0.222,0.5,12.8,74.5,0.233,Pepsi Center,692898.0,16900.0
79,DEN,2015,200.50125,NBA,Denver Nuggets,False,26.4,30.0,52.0,31.0,51.0,-3.55,0.48,-3.07,104.5,108.2,-3.7,96.1,0.278,0.284,0.518,0.479,12.7,26.6,0.204,0.504,13.0,74.7,0.239,Pepsi Center,602707.0,14700.0
80,DEN,2016,201.7058823529412,NBA,Denver Nuggets,False,24.7,33.0,49.0,33.0,49.0,-3.1,0.29,-2.81,105.6,108.9,-3.3,95.7,0.282,0.277,0.531,0.489,13.2,25.8,0.216,0.515,12.6,77.3,0.216,Pepsi Center,577898.0,14095.0
