,abbreviation,season,avg_player_height,lg,team,playoffs,age,w,l,pw,pl,mov,sos,srs,o_rtg,d_rtg,n_rtg,pace,f_tr,x3p_ar,ts_percent,e_fg_percent,tov_percent,orb_percent,ft_fga,opp_e_fg_percent,opp_tov_percent,opp_drb_percent,opp_ft_fga,arena,attend,attend_g
244,PHI,2016,201.93,NBA,Philadelphia 76ers,False,23.3,10.0,72.0,16.0,66.0,-10.23,0.31,-9.92,98.8,109.2,-10.4,97.9,0.269,0.327,0.519,0.487,14.8,20.6,0.186,0.51,13.5,74.0,0.24,Wells Fargo Center,614650.0,14991.0
245,PHI,2017,199.45684210526315,NBA,Philadelphia 76ers,False,24.6,28.0,54.0,26.0,56.0,-5.7,-0.14,-5.83,103.2,108.9,-5.7,98.5,0.258,0.349,0.539,0.501,14.9,22.4,0.199,0.512,13.5,75.3,0.234,Wells Fargo Center,710557.0,17331.0
246,PHI,2018,202.66526315789474,NBA,Philadelphia 76ers,True,25.8,52.0,30.0,53.0,29.0,4.5,-0.2,4.3,109.5,105.0,4.5,99.8,0.263,0.344,0.568,0.535,14.6,25.3,0.198,0.492,12.6,78.6,0.218,Wells Fargo Center,833503.0,20361.0
247,PHI,2019,199.91294117647058,NBA,Philadelphia 76ers,True,26.4,51.0,31.0,48.0,34.0,2.7,-0.44,2.25,112.6,110.0,2.6,101.6,0.312,0.342,0.574,0.532,12.9,24.5,0.241,0.512,11.1,78.6,0.206,Wells Fargo Center,838342.0,20447.0
248,PHI,2020,199.20857142857145,NBA,Philadelphia 76ers,True,26.3,43.0,30.0,42.0,31.0,2.38,-0.13,2.25,111.3,109.0,2.3,99.0,0.255,0.36,0.566,0.534,12.7,23.9,0.193,0.523,12.5,80.3,0.214,Wells Fargo Center,639491.0,20629.0
249,PHI,2021,199.59052631578948,NBA,Philadelphia 76ers,True,27.1,49.0,23.0,48.0,24.0,5.58,-0.31,5.28,113.2,107.6,5.6,99.5,0.293,0.347,0.579,0.541,12.8,23.2,0.225,0.521,13.8,78.2,0.2,Wells Fargo Center,68583.0,1905.0
250,PHI,2022,198.96666666666667,NBA,Philadelphia 76ers,True,26.8,51.0,31.0,48.0,34.0,2.61,-0.04,2.57,113.5,110.8,2.7,96.2,0.282,0.376,0.578,0.534,11.6,20.1,0.232,0.524,12.1,76.8,0.192,Wells Fargo Center,846867.0,20655.0
251,PHX,2012,203.2,NBA,Phoenix Suns,False,28.9,33.0,33.0,32.0,34.0,-0.24,0.53,0.29,106.2,106.5,-0.3,92.6,0.257,0.238,0.536,0.499,13.3,25.8,0.194,0.491,13.1,71.7,0.2,US Airways Center,514718.0,15598.0
252,PHX,2013,200.82933333333332,NBA,Phoenix Suns,False,26.9,25.0,57.0,23.0,59.0,-6.46,0.71,-5.75,101.2,108.1,-6.9,93.4,0.234,0.21,0.512,0.477,14.3,27.0,0.174,0.512,14.2,71.9,0.208,US Airways Center,632913.0,15437.0
253,PHX,2014,200.80941176470589,NBA,Phoenix Suns,False,26.2,48.0,34.0,48.0,34.0,2.63,0.39,3.02,109.5,106.7,2.8,95.8,0.293,0.3,0.558,0.519,14.0,26.4,0.222,0.496,13.9,73.7,0.237,US Airways Center,650739.0,15872.0
254,PHX,2015,200.3425,NBA,Phoenix Suns,False,25.7,39.0,43.0,38.0,44.0,-0.9,0.52,-0.38,105.3,106.2,-0.9,96.3,0.251,0.291,0.537,0.501,13.7,24.5,0.191,0.497,14.0,73.5,0.221,US Airways Center,693862.0,16923.0
255,PHX,2016,199.31529411764706,NBA,Phoenix Suns,False,26.0,23.0,59.0,24.0,58.0,-6.66,0.34,-6.32,102.2,109.0,-6.8,98.5,0.271,0.302,0.526,0.487,15.2,25.4,0.204,0.523,13.5,77.1,0.237,Talking Stick Resort Arena,701405.0,17107.0
256,PHX,2017,199.81333333333333,NBA,Phoenix Suns,False,25.0,24.0,58.0,27.0,55.0,-5.63,0.49,-5.14,106.6,112.2,-5.6,100.3,0.297,0.255,0.538,0.493,13.4,26.0,0.231,0.525,13.1,76.4,0.264,Talking Stick Resort Arena,708639.0,17134.0
257,PHX,2018,200.36117647058822,NBA,Phoenix Suns,False,23.7,21.0,61.0,19.0,63.0,-9.37,0.57,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,0.532,0.495,13.9,22.5,0.203,0.533,11.9,76.5,0.212,Talking Stick Resort Arena,690576.0,16843.0
258,PHX,2019,199.61411764705883,NBA,Phoenix Suns,False,24.0,19.0,63.0,19.0,63.0,-9.34,0.73,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,0.552,0.514,13.8,20.5,0.202,0.545,13.5,72.5,0.236,Talking Stick Resort Arena,627023.0,15293.0
259,PHX,2020,197.00875,NBA,Phoenix Suns,False,24.6,34.0,39.0,37.0,36.0,0.22,0.35,0.56,111.7,111.4,0.3,101.3,0.271,0.361,0.576,0.532,13.0,22.2,0.226,0.539,13.7,78.8,0.221,Talking Stick Resort Arena,550633.0,15606.0
260,PHX,2021,198.23545454545456,NBA,Phoenix Suns,True,26.6,51.0,21.0,49.0,23.0,5.82,-0.15,5.67,117.2,111.3,5.9,97.2,0.212,0.392,0.597,0.564,11.5,20.8,0.177,0.534,12.4,78.5,0.194,Phoenix Suns Arena,104027.0,2890.0
261,PHX,2022,198.4375,NBA,Phoenix Suns,True,27.5,64.0,18.0,59.0,23.0,7.5,-0.56,6.94,114.8,107.3,7.5,99.8,0.221,0.354,0.581,0.549,11.6,22.3,0.176,0.51,13.0,77.1,0.195,Phoenix Suns Arena,663171.0,16175.0
262,POR,2012,200.99866666666668,NBA,Portland Trail Blazers,False,27.5,28.0,38.0,32.0,34.0,-0.62,0.41,-0.22,105.7,106.4,-0.7,91.2,0.263,0.255,0.531,0.488,13.4,26.3,0.209,0.504,14.1,72.8,0.199,Rose Garden Arena,676384.0,20496.0
263,POR,2013,201.168,NBA,Portland Trail Blazers,False,24.4,33.0,49.0,32.0,50.0,-3.17,0.65,-2.53,105.8,109.2,-3.4,91.4,0.25,0.284,0.536,0.498,13.9,25.3,0.194,0.512,12.5,73.3,0.189,Rose Garden Arena,813012.0,19830.0
264,POR,2014,201.45375,NBA,Portland Trail Blazers,True,25.8,54.0,28.0,52.0,30.0,3.99,0.45,4.44,111.5,107.4,4.1,94.9,0.27,0.29,0.548,0.504,12.4,28.0,0.22,0.488,11.0,74.7,0.194,Moda Center,809612.0,19747.0
265,POR,2015,200.50125,NBA,Portland Trail Blazers,True,27.0,51.0,31.0,53.0,29.0,4.23,0.18,4.41,108.2,103.7,4.5,94.2,0.225,0.316,0.544,0.508,12.6,24.2,0.18,0.476,11.3,76.2,0.182,Moda Center,798368.0,19472.0
266,POR,2016,201.3857142857143,NBA,Portland Trail Blazers,True,24.3,44.0,38.0,43.0,39.0,0.83,0.15,0.98,108.8,108.0,0.8,96.0,0.268,0.332,0.548,0.511,13.2,25.9,0.202,0.503,12.1,76.2,0.225,Moda Center,794085.0,19368.0
267,POR,2017,202.86133333333333,NBA,Portland Trail Blazers,True,24.8,41.0,41.0,40.0,42.0,-0.52,0.3,-0.23,110.3,110.8,-0.5,96.7,0.275,0.322,0.559,0.52,12.5,23.0,0.214,0.508,11.6,76.8,0.241,Moda Center,792029.0,19318.0
268,POR,2018,202.40625,NBA,Portland Trail Blazers,True,25.6,49.0,33.0,48.0,34.0,2.6,0.0,2.6,109.1,106.4,2.7,96.5,0.24,0.324,0.549,0.511,12.3,23.3,0.192,0.503,11.7,79.1,0.193,Moda Center,795750.0,19409.0
269,POR,2019,202.72375,NBA,Portland Trail Blazers,True,26.2,53.0,29.0,51.0,31.0,4.2,0.24,4.43,114.7,110.5,4.2,99.1,0.258,0.339,0.568,0.528,12.1,26.6,0.21,0.516,11.0,77.9,0.195,Moda Center,799345.0,19496.0
270,POR,2020,198.62800000000001,NBA,Portland Trail Blazers,True,27.5,35.0,39.0,34.0,40.0,-1.15,0.54,-0.61,113.7,114.8,-1.1,100.7,0.242,0.374,0.57,0.533,11.2,22.4,0.194,0.53,11.2,75.3,0.208,Moda Center,628303.0,19634.0
271,POR,2021,196.63833333333332,NBA,Portland Trail Blazers,True,27.4,42.0,30.0,40.0,32.0,1.79,0.01,1.81,117.8,116.0,1.8,98.4,0.238,0.448,0.577,0.54,9.9,23.0,0.195,0.546,11.2,77.5,0.203,Moda Center,5817.0,162.0
272,POR,2022,199.3295238095238,NBA,Portland Trail Blazers,False,25.6,27.0,55.0,20.0,62.0,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,0.515,13.0,22.9,0.188,0.559,12.7,76.9,0.222,Moda Center,705608.0,17210.0
273,SAC,2012,199.39000000000001,NBA,Sacramento Kings,False,24.3,22.0,44.0,21.0,45.0,-5.68,0.73,-4.95,103.8,109.8,-6.0,94.7,0.268,0.228,0.51,0.472,13.0,29.1,0.197,0.515,13.9,70.5,0.199,Power Balance Pavilion,478764.0,14508.0
274,SAC,2013,201.45375,NBA,Sacramento Kings,False,25.6,28.0,54.0,28.0,54.0,-4.88,0.62,-4.26,106.2,111.4,-5.2,93.6,0.271,0.243,0.532,0.491,13.4,26.6,0.208,0.517,13.6,71.0,0.227,Sleep Train Arena,563743.0,13750.0
275,SAC,2014,202.00470588235294,NBA,Sacramento Kings,False,24.9,28.0,54.0,33.0,49.0,-2.9,0.82,-2.08,105.7,108.8,-3.1,94.4,0.331,0.218,0.532,0.484,13.9,27.8,0.251,0.512,12.7,76.6,0.234,Sleep Train Arena,667949.0,16291.0
276,SAC,2015,200.49066666666667,NBA,Sacramento Kings,False,26.0,29.0,53.0,31.0,51.0,-3.71,0.64,-3.07,105.3,109.2,-3.9,95.4,0.363,0.204,0.542,0.49,14.8,26.5,0.276,0.507,11.8,75.2,0.2,Sleep Train Arena,680049.0,16587.0
277,SAC,2016,198.59625,NBA,Sacramento Kings,False,26.6,33.0,49.0,34.0,48.0,-2.48,0.16,-2.32,106.0,108.4,-2.4,100.0,0.295,0.26,0.546,0.51,14.2,23.9,0.214,0.521,14.0,74.9,0.202,Sleep Train Arena,707526.0,17222.0
278,SAC,2017,201.29500000000002,NBA,Sacramento Kings,False,27.9,32.0,50.0,31.0,51.0,-3.88,0.58,-3.29,107.3,111.3,-4.0,94.9,0.284,0.291,0.556,0.516,13.7,21.0,0.22,0.528,12.9,76.3,0.227,Golden 1 Center,721928.0,17608.0
279,SAC,2018,200.5105882352941,NBA,Sacramento Kings,False,26.4,27.0,55.0,23.0,59.0,-6.99,0.39,-6.6,103.7,111.1,-7.4,94.9,0.194,0.278,0.529,0.502,12.8,21.5,0.143,0.542,13.5,77.6,0.199,Golden 1 Center,714680.0,17431.0
280,SAC,2019,200.09555555555553,NBA,Sacramento Kings,False,24.8,39.0,43.0,38.0,44.0,-1.12,0.31,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,0.554,0.524,11.5,23.1,0.177,0.533,13.6,75.5,0.207,Golden 1 Center,700975.0,17097.0
281,SAC,2020,199.85789473684213,NBA,Sacramento Kings,False,27.0,31.0,41.0,31.0,41.0,-2.04,0.46,-1.59,110.2,112.2,-2.0,98.9,0.23,0.395,0.566,0.534,13.0,21.9,0.177,0.543,13.6,78.4,0.225,Golden 1 Center,520663.0,16796.0
282,SAC,2021,200.279,NBA,Sacramento Kings,False,25.6,31.0,41.0,28.0,44.0,-3.68,0.23,-3.45,113.6,117.2,-3.6,100.0,0.248,0.376,0.578,0.549,12.0,21.3,0.185,0.557,12.1,75.0,0.199,Golden 1 Center,,
283,SAC,2022,199.898,NBA,Sacramento Kings,False,25.8,30.0,52.0,28.0,54.0,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76.0,0.176,Golden 1 Center,577583.0,14087.0
284,SAS,2012,199.47466666666665,NBA,San Antonio Spurs,True,27.5,50.0,16.0,48.0,18.0,7.17,0.11,7.28,110.9,103.2,7.7,92.9,0.261,0.257,0.562,0.528,12.8,25.1,0.195,0.489,12.9,76.0,0.168,AT&T Center,607095.0,18397.0
285,SAS,2013,200.82933333333332,NBA,San Antonio Spurs,True,28.6,58.0,24.0,58.0,24.0,6.4,0.27,6.67,108.3,101.6,6.7,94.2,0.258,0.264,0.568,0.531,14.0,20.5,0.204,0.48,13.7,74.9,0.179,AT&T Center,755700.0,18432.0
286,SAS,2014,200.51333333333332,NBA,San Antonio Spurs,True,28.9,62.0,20.0,61.0,21.0,7.72,0.28,8.0,110.5,102.4,8.1,95.0,0.24,0.257,0.571,0.537,13.5,22.7,0.188,0.482,12.8,76.4,0.184,AT&T Center,755031.0,18415.0
287,SAS,2015,200.09555555555553,NBA,San Antonio Spurs,True,29.8,55.0,27.0,58.0,24.0,6.2,0.14,6.34,108.5,102.0,6.5,93.8,0.256,0.269,0.555,0.517,13.1,23.4,0.2,0.484,13.3,77.3,0.19,AT&T Center,762855.0,18606.0
288,SAS,2016,200.50125,NBA,San Antonio Spurs,True,30.3,67.0,15.0,67.0,15.0,10.63,-0.36,10.28,110.3,99.0,11.3,93.8,0.246,0.223,0.564,0.526,12.4,23.0,0.197,0.477,14.1,79.1,0.182,AT&T Center,756445.0,18450.0
289,SAS,2017,199.2488888888889,NBA,San Antonio Spurs,True,29.6,61.0,21.0,60.0,22.0,7.2,-0.06,7.13,111.1,103.5,7.6,94.2,0.263,0.281,0.564,0.524,12.6,24.0,0.21,0.492,13.5,77.6,0.192,AT&T Center,755347.0,18423.0
290,SAS,2018,201.84533333333331,NBA,San Antonio Spurs,True,29.3,47.0,35.0,49.0,33.0,2.89,0.0,2.89,107.9,104.8,3.1,95.0,0.245,0.282,0.543,0.507,12.2,23.7,0.189,0.507,13.2,78.6,0.17,AT&T Center,754562.0,18404.0
291,SAS,2019,200.06235294117647,NBA,San Antonio Spurs,True,28.8,48.0,34.0,45.0,37.0,1.68,0.12,1.8,112.9,111.2,1.7,98.3,0.237,0.286,0.572,0.534,11.0,21.0,0.194,0.528,11.0,79.4,0.17,AT&T Center,750616.0,18308.0
292,SAS,2020,198.56823529411764,NBA,San Antonio Spurs,False,27.6,32.0,39.0,33.0,38.0,-1.11,0.46,-0.65,112.4,113.5,-1.1,100.5,0.262,0.318,0.572,0.531,11.2,20.1,0.212,0.542,11.7,79.2,0.193,AT&T Center,550515.0,18351.0
293,SAS,2021,198.54333333333335,NBA,San Antonio Spurs,False,26.2,33.0,39.0,32.0,40.0,-1.74,0.15,-1.58,111.0,112.8,-1.8,98.9,0.243,0.314,0.554,0.517,10.2,20.0,0.192,0.541,11.8,77.3,0.174,AT&T Center,61053.0,1696.0
294,SAS,2022,199.57142857142858,NBA,San Antonio Spurs,False,24.5,34.0,48.0,41.0,41.0,0.12,-0.1,0.02,112.4,112.3,0.1,100.0,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,AT&T Center,615588.0,15014.0
295,TOR,2012,199.47466666666665,NBA,Toronto Raptors,False,25.7,23.0,43.0,25.0,41.0,-3.3,-0.36,-3.67,100.8,104.5,-3.7,89.3,0.274,0.209,0.518,0.475,14.8,25.9,0.211,0.475,12.8,75.4,0.26,Air Canada Centre,555584.0,16836.0
296,TOR,2013,199.81333333333333,NBA,Toronto Raptors,False,25.4,34.0,48.0,37.0,45.0,-1.48,-0.48,-1.96,105.9,107.5,-1.6,90.4,0.274,0.249,0.532,0.488,13.0,25.5,0.216,0.5,13.6,73.4,0.247,Air Canada Centre,743936.0,18145.0
297,TOR,2014,200.985,NBA,Toronto Raptors,True,25.6,48.0,34.0,50.0,32.0,3.24,-0.69,2.55,108.8,105.3,3.5,91.8,0.306,0.285,0.545,0.498,13.2,27.2,0.239,0.493,14.1,74.9,0.237,Air Canada Centre,748339.0,18252.0
298,TOR,2015,202.2475,NBA,Toronto Raptors,True,26.1,49.0,33.0,49.0,33.0,3.07,-0.62,2.45,111.0,107.7,3.3,92.8,0.295,0.302,0.553,0.508,12.0,25.6,0.232,0.506,13.4,73.3,0.208,Air Canada Centre,809824.0,19752.0
299,TOR,2016,201.13625000000002,NBA,Toronto Raptors,True,26.3,56.0,26.0,53.0,29.0,4.5,-0.42,4.08,110.0,105.2,4.8,92.9,0.328,0.287,0.552,0.504,12.3,24.6,0.255,0.498,12.7,77.7,0.201,Air Canada Centre,812863.0,19826.0
300,TOR,2017,200.50125,NBA,Toronto Raptors,True,26.1,51.0,31.0,52.0,30.0,4.21,-0.56,3.65,112.3,107.8,4.5,94.7,0.293,0.289,0.561,0.517,11.8,25.0,0.233,0.507,13.5,76.3,0.223,Air Canada Centre,813050.0,19830.0
301,TOR,2018,198.96666666666667,NBA,Toronto Raptors,True,25.8,59.0,23.0,60.0,22.0,7.78,-0.49,7.29,113.8,105.9,7.9,97.4,0.25,0.377,0.575,0.539,12.1,23.0,0.198,0.501,13.0,77.7,0.212,Air Canada Centre,813431.0,19840.0
302,TOR,2019,198.2611111111111,NBA,Toronto Raptors,True,27.3,58.0,24.0,56.0,26.0,6.09,-0.6,5.49,113.1,107.1,6.0,100.2,0.247,0.379,0.579,0.543,12.4,21.9,0.198,0.509,13.1,77.1,0.19,Scotiabank Arena,812822.0,19825.0
303,TOR,2020,199.2488888888889,NBA,Toronto Raptors,True,26.6,53.0,19.0,50.0,22.0,6.24,-0.26,5.97,111.1,105.0,6.1,100.9,0.264,0.421,0.574,0.536,13.1,21.3,0.21,0.502,14.6,76.7,0.202,Scotiabank Arena,633456.0,19796.0
304,TOR,2021,199.77100000000002,NBA,Toronto Raptors,False,26.6,27.0,45.0,35.0,37.0,-0.47,-0.07,-0.54,112.0,112.5,-0.5,99.2,0.241,0.444,0.567,0.529,11.9,20.8,0.196,0.543,14.4,76.3,0.234,Amalie Arena,26024.0,723.0
305,TOR,2022,200.09555555555553,NBA,Toronto Raptors,True,24.8,48.0,34.0,47.0,35.0,2.29,0.08,2.38,112.9,110.5,2.4,96.0,0.234,0.375,0.543,0.51,11.0,28.4,0.177,0.535,14.4,75.6,0.199,Scotiabank Arena,547343.0,13350.0
306,UTA,2012,199.93428571428572,NBA,Utah Jazz,True,25.6,36.0,30.0,34.0,32.0,0.62,0.3,0.92,106.8,106.1,0.7,91.4,0.302,0.153,0.525,0.481,13.0,30.2,0.227,0.493,13.8,73.8,0.245,EnergySolutions Arena,637124.0,19307.0
307,UTA,2013,200.21176470588236,NBA,Utah Jazz,False,26.3,43.0,39.0,41.0,41.0,-0.09,0.38,0.3,106.7,106.8,-0.1,90.9,0.281,0.206,0.533,0.492,13.8,28.8,0.214,0.501,14.0,73.2,0.226,EnergySolutions Arena,763915.0,18632.0
308,UTA,2014,200.9775,NBA,Utah Jazz,False,24.5,25.0,57.0,22.0,60.0,-7.17,0.91,-6.27,103.5,111.3,-7.8,91.4,0.271,0.237,0.523,0.484,13.9,25.5,0.202,0.518,12.1,74.5,0.227,EnergySolutions Arena,745203.0,18176.0
309,UTA,2015,202.2475,NBA,Utah Jazz,False,23.4,38.0,44.0,42.0,40.0,0.22,0.49,0.71,105.1,104.9,0.2,90.4,0.297,0.274,0.531,0.494,14.6,29.1,0.214,0.491,12.8,76.3,0.199,EnergySolutions Arena,772059.0,18831.0
310,UTA,2016,201.84533333333331,NBA,Utah Jazz,False,24.2,40.0,42.0,46.0,36.0,1.79,0.05,1.84,105.9,103.9,2.0,91.0,0.286,0.297,0.54,0.501,14.2,25.9,0.213,0.495,13.5,77.7,0.21,Vivint Smart Home Arena,791489.0,19305.0
311,UTA,2017,199.39000000000001,NBA,Utah Jazz,True,26.8,51.0,31.0,52.0,30.0,3.94,0.06,4.0,109.6,105.3,4.3,91.6,0.288,0.327,0.563,0.526,13.2,23.2,0.215,0.493,11.8,78.9,0.195,Vivint Smart Home Arena,806142.0,19662.0
312,UTA,2018,200.36117647058822,NBA,Utah Jazz,True,26.7,48.0,34.0,53.0,29.0,4.3,0.17,4.47,108.4,103.9,4.5,95.7,0.26,0.357,0.564,0.527,13.7,21.5,0.202,0.506,14.0,79.8,0.19,Vivint Smart Home Arena,734806.0,17922.0
313,UTA,2019,196.28555555555556,NBA,Utah Jazz,True,27.3,50.0,32.0,54.0,28.0,5.26,0.03,5.28,110.9,105.7,5.2,100.3,0.295,0.394,0.572,0.538,13.4,22.9,0.217,0.507,12.4,80.3,0.189,Vivint Smart Home Arena,750546.0,18306.0
314,UTA,2020,198.26941176470586,NBA,Utah Jazz,True,27.3,44.0,28.0,42.0,30.0,2.47,0.05,2.52,112.3,109.9,2.4,98.6,0.268,0.414,0.585,0.549,13.7,21.6,0.208,0.518,11.1,78.9,0.185,Vivint Smart Home Arena,567486.0,18306.0
315,UTA,2021,198.755,NBA,Utah Jazz,True,28.5,52.0,20.0,55.0,17.0,9.25,-0.29,8.97,117.6,108.3,9.3,98.5,0.244,0.488,0.597,0.563,12.7,24.5,0.195,0.507,10.3,79.3,0.159,Vivint Smart Home Arena,151300.0,4203.0
316,UTA,2022,201.29500000000002,NBA,Utah Jazz,True,29.3,49.0,33.0,56.0,26.0,6.04,-0.37,5.67,116.7,110.5,6.2,97.1,0.271,0.468,0.589,0.555,12.7,25.4,0.208,0.521,10.9,78.3,0.164,Vivint Smart Home Arena,750546.0,18306.0
317,WAS,2012,202.4742857142857,NBA,Washington Wizards,False,24.2,20.0,46.0,22.0,44.0,-4.8,-0.34,-5.14,101.0,106.2,-5.2,92.5,0.253,0.196,0.508,0.472,14.2,27.3,0.184,0.492,14.2,70.9,0.229,Verizon Center,552038.0,16728.0
318,WAS,2013,202.18400000000003,NBA,Washington Wizards,False,25.4,29.0,53.0,33.0,49.0,-2.54,-0.25,-2.78,100.2,103.0,-2.8,92.2,0.261,0.223,0.512,0.475,14.2,24.6,0.191,0.483,13.7,74.6,0.206,Verizon Center,670070.0,16343.0
319,WAS,2014,200.50125,NBA,Washington Wizards,True,26.3,44.0,38.0,45.0,37.0,1.27,-0.79,0.48,106.0,104.6,1.4,93.2,0.248,0.246,0.538,0.506,13.6,25.2,0.181,0.504,15.0,75.7,0.22,Verizon Center,698068.0,17026.0
320,WAS,2015,200.66,NBA,Washington Wizards,True,28.6,46.0,36.0,43.0,39.0,0.72,-0.55,0.17,103.7,103.0,0.7,93.7,0.259,0.203,0.534,0.499,14.0,24.9,0.192,0.481,12.9,77.3,0.21,Verizon Center,747796.0,18239.0
321,WAS,2016,201.10823529411766,NBA,Washington Wizards,False,27.3,41.0,41.0,40.0,42.0,-0.5,0.0,-0.5,105.3,105.8,-0.5,98.5,0.263,0.282,0.544,0.511,13.1,20.6,0.192,0.515,14.6,77.7,0.218,Verizon Center,725426.0,17693.0
322,WAS,2017,201.168,NBA,Washington Wizards,True,26.0,49.0,33.0,46.0,36.0,1.8,-0.45,1.36,111.2,109.3,1.9,97.4,0.254,0.284,0.564,0.528,12.8,24.1,0.199,0.524,13.8,75.5,0.213,Verizon Center,697107.0,17003.0
323,WAS,2018,201.32842105263157,NBA,Washington Wizards,True,26.9,43.0,39.0,43.0,39.0,0.59,-0.06,0.53,109.3,108.7,0.6,96.6,0.254,0.31,0.56,0.525,13.3,23.5,0.196,0.522,13.6,77.1,0.212,Capital One Arena,739302.0,18032.0
324,WAS,2019,197.87809523809523,NBA,Washington Wizards,False,26.5,32.0,50.0,34.0,48.0,-2.9,-0.4,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,0.567,0.531,12.3,21.3,0.204,0.546,13.5,74.1,0.199,Capital One Arena,716996.0,17448.0
325,WAS,2020,200.09555555555553,NBA,Washington Wizards,False,25.1,25.0,47.0,26.0,46.0,-4.67,-0.57,-5.24,110.9,115.5,-4.6,102.7,0.27,0.358,0.562,0.523,12.2,22.2,0.213,0.558,13.9,75.3,0.231,Capital One Arena,532702.0,16647.0
326,WAS,2021,198.00956521739133,NBA,Washington Wizards,True,26.6,34.0,38.0,32.0,40.0,-1.83,-0.01,-1.85,111.2,113.0,-1.8,104.1,0.288,0.319,0.569,0.531,12.3,21.3,0.221,0.539,12.5,77.6,0.217,Capital One Arena,19198.0,533.0
327,WAS,2022,199.517,NBA,Washington Wizards,False,25.9,35.0,47.0,32.0,50.0,-3.38,0.15,-3.23,111.1,114.5,-3.4,97.0,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,Capital One Arena,641499.0,15646.0
